ActivityName,SelectedModuleID,ModuleTypeName,Category,TaskType,NodeType,UsageCount,IsOrphaned
CustomWorkflow,NULL,INTERNAL,INTERNAL,TRANSFORM,LEAF,636,0
ifElseBranchActivity1,NULL,INTERNAL,INTERNAL,DECISION,CONTAINER,359,0
ifElseBranchActivity2,NULL,INTERNAL,INTERNAL,DECISION,CONTAINER,355,0
ifElseActivity1,NULL,INTERNAL,INTERNAL,DECISION,CONTAINER,353,0
returnValue1,NULL,INTERNAL,INTERNAL,TRANSFORM,LEAF,299,0
exitWhile1,NULL,INTERNAL,INTERNAL,DECISION,CONTAINER,295,0
displayValue1,NULL,INTERNAL,INTERNAL,TRANSFORM,LEAF,254,0
ifElseBranchActivity3,NULL,INTERNAL,INTERNAL,DECISION,CONTAINER,230,0
ifElseBranchActivity4,NULL,INTERNAL,INTERNAL,DECISION,CONTAINER,229,0
ifElseActivity2,NULL,INTERNAL,INTERNAL,DECISION,CONTAINER,228,0
userGroup1,NULL,INTERNAL,INTERNAL,TRANSFORM,LEAF,227,0
whileSequenceActivity1,NULL,INTERNAL,INTERNAL,DECISION,CONTAINER,222,0
returnValue3,NULL,INTERNAL,INTERNAL,TRANSFORM,LEAF,221,0
returnValue5,NULL,INTERNAL,INTERNAL,TRANSFORM,LEAF,199,0
ifElseBranchActivity5,NULL,INTERNAL,INTERNAL,DECISION,CONTAINER,182,0
ifElseBranchActivity6,NULL,INTERNAL,INTERNAL,DECISION,CONTAINER,174,0
userGroup2,NULL,INTERNAL,INTERNAL,TRANSFORM,LEAF,174,0
ifElseActivity3,NULL,INTERNAL,INTERNAL,DECISION,CONTAINER,173,0
displayValue2,NULL,INTERNAL,INTERNAL,TRANSFORM,LEAF,166,0
memorySet1,NULL,INTERNAL,INTERNAL,TRANSFORM,LEAF,165,0
returnValue7,NULL,INTERNAL,INTERNAL,TRANSFORM,LEAF,158,0
returnValue9,NULL,INTERNAL,INTERNAL,TRANSFORM,LEAF,144,0
returnValue11,NULL,INTERNAL,INTERNAL,TRANSFORM,LEAF,139,0
ifElseBranchActivity8,NULL,INTERNAL,INTERNAL,DECISION,CONTAINER,134,0
ifElseBranchActivity7,NULL,INTERNAL,INTERNAL,DECISION,CONTAINER,132,0
exitWhile2,NULL,INTERNAL,INTERNAL,DECISION,CONTAINER,131,0
userGroup3,NULL,INTERNAL,INTERNAL,TRANSFORM,LEAF,131,0
createMemoryTable1,NULL,INTERNAL,INTERNAL,OUTPUT,LEAF,130,0
ifElseActivity4,NULL,INTERNAL,INTERNAL,DECISION,CONTAINER,130,0
displayValue3,NULL,INTERNAL,INTERNAL,TRANSFORM,LEAF,122,0
sendEmail1,NULL,INTERNAL,INTERNAL,OUTPUT,LEAF,114,0
ifElseBranchActivity9,NULL,INTERNAL,INTERNAL,DECISION,CONTAINER,113,0
returnValue13,NULL,INTERNAL,INTERNAL,TRANSFORM,LEAF,112,0
userGroup4,NULL,INTERNAL,INTERNAL,TRANSFORM,LEAF,112,0
returnValue15,NULL,INTERNAL,INTERNAL,TRANSFORM,LEAF,111,0
whileActivity1,NULL,INTERNAL,INTERNAL,DECISION,CONTAINER,109,0
ifElseBranchActivity10,NULL,INTERNAL,INTERNAL,DECISION,CONTAINER,108,0
getRowsCount1,NULL,INTERNAL,INTERNAL,INPUT,LEAF,106,0
ifElseActivity5,NULL,INTERNAL,INTERNAL,DECISION,CONTAINER,100,0
