name	description
Abs	Returns the absolute value of a specified number
ADAddtoGroup	Adds a user or a computer account to a group
ADComputerLoggedInDate	Retrieves the last date a computer account was logged in
ADCopyUser	Duplicates a user account
ADCreateAccount	Creates a new user account
ADCreateGroup	Creates a new group
ADCreateGroupAdvanced	An activity that creates groups in AD.
AddDate	Adds an interval to a given date
ADDeleteAccount	Deletes a user or a computer account
ADDeleteGroup	Deletes an existing group
ADDisableAccount	Disables a user or a computer account
AddMemoryTableColumn	Adds a single or multiple column/s to a table
AddMemoryTableRow	Adds a single or multiple row/s to a table
ADEnableAccount	Enables a user or a computer account
ADGetProperty	Retrieves a user''s or a computer account''s property
ADGroupExists	Checks if a group exists
ADIsAccountDisabled	Checks if a user or a computer account is disabled
ADIsAccountLocked	Checks if a user account is locked
ADLDAPQuery	Executes an LDAP query
ADListGroup	Retrieves a list of the group members
ADListOU	Retrieves the list of objects which reside in an OU
ADListUserGroups	Retrieves a list of groups of which the user is a member
ADMoveAccount	Moves a user or a computer account to a new OU
ADPassExpDaysLeft	Retrieves the number of days left until a user account''s password is expired
ADPasswordReset	Resets a user account''s password
ADPermissionsRemoteFolder	This Activity is used to set folder permissions to the AD user in remote server.
ADRemoveFromGroup	Removes a user or a computer account from a group
ADRenameAccount	Renames a user or a computer account
ADSearchAccount	Searches for a user''s or a computer account''s distinguished name based on the account''s name
ADSearchUserLogonName	Searches for a user account''s name based on the account''s properties
ADSetPasswordProperties	Sets a user account''s password properties
ADSetProperty	Sets a user''s or a computer account''s property
ADUnlockAccount	Unlocks a user account
ADUserExists	Checks if a user account exists
ADUserLoggedInDate	Retrieves the last date a user account was logged in
ADUsersSynchronization	Synchronizes the Active Directory users and groups with the eyeShareDev database
AdvancedCommunicate	Assigns a person to handle the event or the Incident that triggered the workflow
ApplicationPoolRecycle	Recycles the specified application pool on the designated server
ApplicationPoolStart	Starts the specified application pool on the designated server
ApplicationPoolStatus	Returns the specified application pool''s status
ApplicationPoolStop	Stops the specified application pool on the designated server
AttachmentList	Lists the files attached to the email that triggered the workflow 
AvayaClearCallFwd	connect to Avaya phone system and clear a call forward from a given extension
AvayaSetCallFwd	set a call forwarding DN on a given extension
AWSAttachNetworkInterface	Attaches a network interface to an Amazon Web Service instance
